glottocode,language_name,lang_family,endangerment_level,lang_family_count,domains_of_use,speaker_number,speaker_number_trends,transmission,elcat_endangerment,country_count,max_gdp_percapita,avg_gdp_percapita,max_internet,avg_internet,max_urban,avg_urban,max_urban_growth,avg_urban_growth,official,regional,national,minority,widely_spoken,area_Africa,area_Australia,area_Eurasia,area_North America,area_Papunesia,area_South America
wage1238,Wageman,,3,0.0,,4,4,,severely endangered,1,64603.9856308464,64603.9856308464,96.13140106,96.13140106,87.6021469990446,87.6021469990446,2.12571289816265,2.12571289816265,0,0,0,0,0,0,1,0,0,0,0
lara1258,Laragia,,4,0.0,,5,5,5,critically endangered,1,64603.9856308464,64603.9856308464,96.13140106,96.13140106,87.6021469990446,87.6021469990446,2.12571289816265,2.12571289816265,0,0,0,0,0,0,1,0,0,0,0
mawe1251,Mawes,,1,0.0,,3,,,endangered,1,4925.43048751861,4925.43048751861,72.78075544,72.78075544,58.7509635387997,58.7509635387997,1.89719567962498,1.89719567962498,0,0,0,0,0,0,0,0,0,1,0
mass1263,Massep,,3,0.0,,4,,,severely endangered,1,4925.43048751861,4925.43048751861,72.78075544,72.78075544,58.7509635387997,58.7509635387997,1.89719567962498,1.89719567962498,0,0,0,0,0,0,0,0,0,1,0
pank1250,Pankararú,,5,0.0,,,,,,1,10310.5488778166,10310.5488778166,84.46347227,84.46347227,87.8958549533146,87.8958549533146,0.724401697459186,0.724401697459186,0,0,0,0,0,0,0,0,0,0,1
wiru1244,Wiru,,2,0.0,,1,,,vulnerable,1,3006.70564478923,3006.70564478923,18.81159973,18.81159973,15.4061816403333,15.4061816403333,4.06785501758394,4.06785501758394,0,0,0,0,0,0,0,0,0,1,0
taua1242,Tauade,,0,0.0,,,,,,1,3006.70564478923,3006.70564478923,18.81159973,18.81159973,15.4061816403333,15.4061816403333,4.06785501758394,4.06785501758394,0,0,0,0,0,0,0,0,0,1,0
wadj1254,Wadjiginy,,3,0.0,,4,,,severely endangered,1,64603.9856308464,64603.9856308464,96.13140106,96.13140106,87.6021469990446,87.6021469990446,2.12571289816265,2.12571289816265,0,0,0,0,0,0,1,0,0,0,0
puin1248,Puinave,,1,0.0,,2,,,threatened,2,7919.20886825345,6068.39994734368,79.34543299,78.01216733000001,89.285859883201,83.90347053490625,1.3876355674663,0.8987269869421874,0,0,0,0,0,0,0,0,0,0,1
dibi1240,Dibiyaso,,1,0.0,,2,,,threatened,1,3006.70564478923,3006.70564478923,18.81159973,18.81159973,15.4061816403333,15.4061816403333,4.06785501758394,4.06785501758394,0,0,0,0,0,0,0,0,0,1,0
sulk1246,Sulka,,1,0.0,,2,,,threatened,1,3006.70564478923,3006.70564478923,18.81159973,18.81159973,15.4061816403333,15.4061816403333,4.06785501758394,4.06785501758394,0,0,0,0,0,0,0,0,0,1,0
pyuu1245,Pyu,,1,0.0,,4,,2,endangered,2,4925.43048751861,3966.06806615392,72.78075544,45.796177584999995,58.7509635387997,37.0785725895665,4.06785501758394,2.9825253486044603,0,0,0,0,0,0,0,0,0,1,0
yale1246,Yale,,1,0.0,,3,,,endangered,1,3006.70564478923,3006.70564478923,18.81159973,18.81159973,15.4061816403333,15.4061816403333,4.06785501758394,4.06785501758394,0,0,0,0,0,0,0,0,0,1,0
seri1257,Seri,,1,0.0,1,3,,1,threatened,1,14185.7812248529,14185.7812248529,83.12233799,83.12233799,79.7538805976118,79.7538805976118,1.2127000253117,1.2127000253117,0,0,0,0,0,0,0,0,1,0,0
beto1236,Betoi-Jirara,,5,0.0,,,,,,1,4217.59102643391,4217.59102643391,76.67890167,76.67890167,89.285859883201,89.285859883201,0.409818406418075,0.409818406418075,0,0,0,0,0,0,0,0,0,0,1
atac1235,Atacame,,5,0.0,,,,,,1,6874.705739766,6874.705739766,77.17273115,77.17273115,63.2376932397602,63.2376932397602,1.0297722100581,1.0297722100581,0,0,0,0,0,0,0,0,0,0,1
cams1241,Camsá,,1,0.0,,2,,,threatened,1,7919.20886825345,7919.20886825345,79.34543299,79.34543299,78.5210811866115,78.5210811866115,1.3876355674663,1.3876355674663,0,0,0,0,0,0,0,0,0,0,1
cent2045,Jalaa,,5,0.0,,4,,5,critically endangered,1,1084.16041805436,1084.16041805436,41.21139908,41.21139908,62.9755675573659,62.9755675573659,3.3628832591496,3.3628832591496,0,0,0,0,0,1,0,0,0,0,0
take1257,Takelma,,5,0.0,,,,,,1,84534.0407841548,84534.0407841548,94.69380188,94.69380188,80.1247798047184,80.1247798047184,1.04286346807884,1.04286346807884,0,0,0,0,0,0,0,0,1,0,0
ando1256,Andoque,,4,0.0,,,,,,1,7919.20886825345,7919.20886825345,79.34543299,79.34543299,78.5210811866115,78.5210811866115,1.3876355674663,1.3876355674663,0,0,0,0,0,0,0,0,0,0,1
pira1253,Pirahã,,2,0.0,,3,,0,vulnerable,1,10310.5488778166,10310.5488778166,84.46347227,84.46347227,87.8958549533146,87.8958549533146,0.724401697459186,0.724401697459186,0,0,0,0,0,0,0,0,0,0,1
boga1247,Bogaya,,1,0.0,,3,,,endangered,1,3006.70564478923,3006.70564478923,18.81159973,18.81159973,15.4061816403333,15.4061816403333,4.06785501758394,4.06785501758394,0,0,0,0,0,0,0,0,0,1,0
moch1259,Mochica,,5,0.0,,,,,,1,8452.37167056621,8452.37167056621,81.95705992,81.95705992,85.1912729600355,85.1912729600355,1.57651042813743,1.57651042813743,0,0,0,0,0,0,0,0,0,0,1
come1251,Comecrudan,,5,0.0,,,,,,1,14185.7812248529,14185.7812248529,83.12233799,83.12233799,79.7538805976118,79.7538805976118,1.2127000253117,1.2127000253117,0,0,0,0,0,0,0,0,1,0,0
mimi1240,Mimi-Gaudefroy,,5,0.0,,,,,,1,961.55975562506,961.55975562506,12.62689972,12.62689972,26.9315292389497,26.9315292389497,7.20534416894141,7.20534416894141,0,0,0,0,0,1,0,0,0,0,0
sand1273,Sandawe,,2,0.0,,1,,,vulnerable,1,1186.71691894531,1186.71691894531,31.16209984,31.16209984,36.1684458862992,36.1684458862992,4.8107084931504,4.8107084931504,0,0,0,0,0,1,0,0,0,0,0
leco1242,Leco,,5,0.0,,,,,dormant,1,4421.16609889999,4421.16609889999,79.70469666,79.70469666,71.2361453773988,71.2361453773988,1.82370068528301,1.82370068528301,1,0,0,0,0,0,0,0,0,0,1
otii1244,Oti,,5,0.0,,,,,,1,10310.5488778166,10310.5488778166,84.46347227,84.46347227,87.8958549533146,87.8958549533146,0.724401697459186,0.724401697459186,0,0,0,0,0,0,0,0,0,0,1
sech1236,Sechuran,,5,0.0,,,,,,1,8452.37167056621,8452.37167056621,81.95705992,81.95705992,85.1912729600355,85.1912729600355,1.57651042813743,1.57651042813743,0,0,0,0,0,0,0,0,0,0,1
xuku1239,Xukurú,,5,0.0,,,,,,1,10310.5488778166,10310.5488778166,84.46347227,84.46347227,87.8958549533146,87.8958549533146,0.724401697459186,0.724401697459186,0,0,0,0,0,0,0,0,0,0,1
alse1251,Alsea-Yaquina,,5,0.0,,,,,,1,84534.0407841548,84534.0407841548,94.69380188,94.69380188,80.1247798047184,80.1247798047184,1.04286346807884,1.04286346807884,0,0,0,0,0,0,0,0,1,0,0
cayu1241,Cayuse,,5,0.0,,,,,,1,84534.0407841548,84534.0407841548,94.69380188,94.69380188,80.1247798047184,80.1247798047184,1.04286346807884,1.04286346807884,0,0,0,0,0,0,0,0,1,0,0
pume1238,Pumé,,1,0.0,,2,,,threatened,2,7919.20886825345,6068.39994734368,79.34543299,78.01216733000001,89.285859883201,83.90347053490625,1.3876355674663,0.8987269869421874,0,0,0,0,0,0,0,0,0,0,1
